complaint_text,category,priority
please resolve the irregular supply in sector 12; it has continued for two hours. it is people may get hurt.,Water Supply,Urgent
dangerous. residents are affected by damaged railing outside the school for three days.,Public Safety,Urgent
needs attention. there is stray animal beside the park since three days.,Public Safety,Normal
residents are affected by missing road sign in our lane for several weeks. it is immediate help needed.,Roads & Transport,Urgent
residents are affected by fallen tree at the crossing for several weeks. it is immediate help needed.,Public Safety,Urgent
i want to report damaged cable beside the park. the problem started a week ago. it is causing inconvenience.,Internet & Telecom,Normal
the local authority has not fixed the open dumping near the bus stand for one day. it is kindly resolve.,Sanitation,Normal
please resolve the blocked drain beside the park; it has continued for three days. it is needs attention.,Sanitation,Normal
please check. the local authority has not fixed the no water near the bus stand for several weeks.,Water Supply,Normal
people may get hurt. there is no water in our lane since one day.,Water Supply,Urgent
emergency. i want to report electricity outage in sector 12. the problem started three days ago.,Electricity,Urgent
residents are affected by exposed cable in our lane for two hours. it is please inspect.,Public Safety,Normal
residents are affected by mosquito breeding in our lane for three days. it is please check.,Sanitation,Normal
requesting repair. the local authority has not fixed the traffic signal in our lane for one day.,Roads & Transport,Normal
the local authority has not fixed the damaged cable near the bus stand for three days. it is kindly resolve.,Internet & Telecom,Normal
please resolve the dirty water near my house; it has continued for three days. it is needs attention.,Water Supply,Normal
there is sparking wire at the main market since one day. it is please inspect.,Electricity,Normal
i want to report electric pole outside the school. the problem started three days ago. it is please inspect.,Electricity,Normal
requesting repair. i want to report open manhole outside the school. the problem started a week ago.,Public Safety,Normal
immediate help needed. residents are affected by missed waste collection in our lane for two hours.,Sanitation,Urgent
i want to report damaged footpath in our lane. the problem started a week ago. it is please inspect.,Roads & Transport,Normal
people may get hurt. please resolve the open dumping in sector 12; it has continued for a week.,Sanitation,Urgent
needs attention. residents are affected by irregular supply beside the park for one day.,Water Supply,Normal
children are at risk. residents are affected by water wastage outside the school for one day.,Water Supply,Urgent
kindly resolve. residents are affected by mosquito breeding outside the school for several weeks.,Sanitation,Normal
the local authority has not fixed the stray animal beside the park for three days. it is requesting repair.,Public Safety,Normal
dangerous. there is sewage mixed water in our lane since a week.,Water Supply,Urgent
please resolve the bus delay near the bus stand; it has continued for two hours. it is causing inconvenience.,Roads & Transport,Normal
please inspect. i want to report unsafe crossing outside the school. the problem started two hours ago.,Roads & Transport,Normal
requesting repair. i want to report meter fault beside the park. the problem started several weeks ago.,Electricity,Normal
please check. the local authority has not fixed the sparking wire in sector 12 for a week.,Electricity,Normal
please check. there is open dumping in our lane since one day.,Sanitation,Normal
residents are affected by mosquito breeding outside the school for several weeks. it is please check.,Sanitation,Normal
people may get hurt. there is transformer noise at the main market since one day.,Electricity,Urgent
residents are affected by fallen tree near my house for several weeks. it is dangerous.,Public Safety,Urgent
immediate help needed. residents are affected by unclean public toilet at the main market for three days.,Sanitation,Urgent
please check. the local authority has not fixed the electricity outage near my house for several weeks.,Electricity,Normal
requesting repair. residents are affected by traffic signal at the crossing for two hours.,Roads & Transport,Normal
i want to report slow broadband near the bus stand. the problem started two hours ago. it is needs attention.,Internet & Telecom,Normal
residents are affected by frequent disconnection in our lane for several weeks. it is accident may happen.,Internet & Telecom,Urgent
i want to report bus delay at the crossing. the problem started two hours ago. it is please inspect.,Roads & Transport,Normal
please resolve the frequent disconnection at the main market; it has continued for one day. it is please check.,Internet & Telecom,Normal
please resolve the meter fault near my house; it has continued for one day. it is children are at risk.,Electricity,Urgent
please resolve the water wastage near the bus stand; it has continued for several weeks. it is severe.,Water Supply,Urgent
dangerous. i want to report damaged cable at the crossing. the problem started two hours ago.,Internet & Telecom,Urgent
please resolve the poor coverage near the bus stand; it has continued for one day. it is needs attention.,Internet & Telecom,Normal
requesting repair. please resolve the unclean public toilet in our lane; it has continued for a week.,Sanitation,Normal
please check. i want to report garbage pile beside the park. the problem started one day ago.,Sanitation,Normal
kindly resolve. there is no water at the crossing since three days.,Water Supply,Normal
there is no signal at the crossing since two hours. it is causing inconvenience.,Internet & Telecom,Normal
requesting repair. there is water wastage outside the school since one day.,Water Supply,Normal
there is fire hazard in sector 12 since a week. it is please check.,Public Safety,Normal
people may get hurt. residents are affected by no water in our lane for a week.,Water Supply,Urgent
children are at risk. the local authority has not fixed the unsafe crossing at the main market for several weeks.,Roads & Transport,Urgent
people may get hurt. the local authority has not fixed the waterlogged road in our lane for one day.,Roads & Transport,Urgent
the local authority has not fixed the waterlogged road outside the school for three days. it is emergency.,Roads & Transport,Urgent
i want to report water wastage near the bus stand. the problem started two hours ago. it is people may get hurt.,Water Supply,Urgent
children are at risk. residents are affected by stray animal in sector 12 for one day.,Public Safety,Urgent
emergency. i want to report waterlogged road in sector 12. the problem started three days ago.,Roads & Transport,Urgent
people may get hurt. the local authority has not fixed the electric pole at the crossing for several weeks.,Electricity,Urgent
there is open manhole outside the school since one day. it is severe.,Public Safety,Urgent
the local authority has not fixed the broken road near the bus stand for two hours. it is kindly resolve.,Roads & Transport,Normal
please resolve the electric pole outside the school; it has continued for one day. it is causing inconvenience.,Electricity,Normal
please resolve the electricity outage at the crossing; it has continued for several weeks. it is kindly resolve.,Electricity,Normal
people may get hurt. the local authority has not fixed the traffic signal outside the school for one day.,Roads & Transport,Urgent
needs attention. please resolve the meter fault outside the school; it has continued for a week.,Electricity,Normal
residents are affected by irregular supply near the bus stand for two hours. it is requesting repair.,Water Supply,Normal
there is fallen tree in our lane since three days. it is accident may happen.,Public Safety,Urgent
there is poor coverage near the bus stand since three days. it is please check.,Internet & Telecom,Normal
i want to report mosquito breeding near the bus stand. the problem started several weeks ago. it is children are at risk.,Sanitation,Urgent
there is mosquito breeding near my house since two hours. it is needs attention.,Sanitation,Normal
please check. please resolve the dirty water at the main market; it has continued for three days.,Water Supply,Normal
i want to report traffic signal at the crossing. the problem started a week ago. it is requesting repair.,Roads & Transport,Normal
needs attention. the local authority has not fixed the electric pole at the main market for a week.,Electricity,Normal
the local authority has not fixed the water wastage at the crossing for two hours. it is kindly resolve.,Water Supply,Normal
the local authority has not fixed the sewage mixed water near the bus stand for two hours. it is requesting repair.,Water Supply,Normal
please inspect. i want to report poor coverage near my house. the problem started several weeks ago.,Internet & Telecom,Normal
needs attention. residents are affected by damaged cable beside the park for a week.,Internet & Telecom,Normal
requesting repair. i want to report broken road at the crossing. the problem started a week ago.,Roads & Transport,Normal
please resolve the poor coverage in sector 12; it has continued for one day. it is dangerous.,Internet & Telecom,Urgent
please check. please resolve the broken water pipe outside the school; it has continued for a week.,Water Supply,Normal
residents are affected by damaged footpath at the main market for one day. it is emergency.,Roads & Transport,Urgent
residents are affected by router outage outside the school for several weeks. it is accident may happen.,Internet & Telecom,Urgent
the local authority has not fixed the transformer noise in our lane for one day. it is causing inconvenience.,Electricity,Normal
there is dark street beside the park since one day. it is please check.,Public Safety,Normal
children are at risk. i want to report missing road sign near my house. the problem started two hours ago.,Roads & Transport,Urgent
immediate help needed. residents are affected by traffic signal in our lane for a week.,Roads & Transport,Urgent
requesting repair. there is missing road sign in our lane since several weeks.,Roads & Transport,Normal
emergency. the local authority has not fixed the traffic signal beside the park for two hours.,Roads & Transport,Urgent
please resolve the internet down at the main market; it has continued for two hours. it is children are at risk.,Internet & Telecom,Urgent
severe. please resolve the irregular supply at the crossing; it has continued for three days.,Water Supply,Urgent
i want to report broken water pipe near my house. the problem started a week ago. it is causing inconvenience.,Water Supply,Normal
there is fire hazard in our lane since one day. it is accident may happen.,Public Safety,Urgent
kindly resolve. there is unsafe crossing near the bus stand since a week.,Roads & Transport,Normal
people may get hurt. there is traffic signal outside the school since one day.,Roads & Transport,Urgent
i want to report sparking wire in our lane. the problem started three days ago. it is people may get hurt.,Electricity,Urgent
residents are affected by water wastage outside the school for a week. it is accident may happen.,Water Supply,Urgent
please check. please resolve the fallen tree in sector 12; it has continued for two hours.,Public Safety,Normal
residents are affected by missing road sign near the bus stand for three days. it is please inspect.,Roads & Transport,Normal
emergency. please resolve the mobile network at the crossing; it has continued for two hours.,Internet & Telecom,Urgent
the local authority has not fixed the unsafe construction near the bus stand for several weeks. it is immediate help needed.,Public Safety,Urgent
there is street light beside the park since two hours. it is please check.,Electricity,Normal
there is electricity outage at the main market since one day. it is needs attention.,Electricity,Normal
residents are affected by fire hazard near my house for several weeks. it is kindly resolve.,Public Safety,Normal
i want to report internet down near my house. the problem started a week ago. it is causing inconvenience.,Internet & Telecom,Normal
please inspect. i want to report bad smell in sector 12. the problem started several weeks ago.,Sanitation,Normal
people may get hurt. residents are affected by slow broadband at the crossing for two hours.,Internet & Telecom,Urgent
needs attention. i want to report missed waste collection in our lane. the problem started several weeks ago.,Sanitation,Normal
residents are affected by stray animal at the crossing for three days. it is needs attention.,Public Safety,Normal
residents are affected by poor coverage at the crossing for one day. it is please inspect.,Internet & Telecom,Normal
the local authority has not fixed the irregular supply in our lane for a week. it is requesting repair.,Water Supply,Normal
please inspect. i want to report garbage pile near my house. the problem started three days ago.,Sanitation,Normal
residents are affected by missing road sign in sector 12 for three days. it is kindly resolve.,Roads & Transport,Normal
accident may happen. i want to report low water pressure at the main market. the problem started several weeks ago.,Water Supply,Urgent
requesting repair. residents are affected by no signal near the bus stand for one day.,Internet & Telecom,Normal
kindly resolve. the local authority has not fixed the bus delay at the crossing for several weeks.,Roads & Transport,Normal
the local authority has not fixed the mobile network in sector 12 for two hours. it is kindly resolve.,Internet & Telecom,Normal
children are at risk. the local authority has not fixed the electric pole at the crossing for a week.,Electricity,Urgent
kindly resolve. please resolve the water wastage at the crossing; it has continued for three days.,Water Supply,Normal
emergency. i want to report missing road sign at the main market. the problem started two hours ago.,Roads & Transport,Urgent
the local authority has not fixed the low water pressure beside the park for a week. it is kindly resolve.,Water Supply,Normal
people may get hurt. the local authority has not fixed the irregular supply outside the school for two hours.,Water Supply,Urgent
please check. there is fallen tree in our lane since a week.,Public Safety,Normal
residents are affected by router outage beside the park for a week. it is needs attention.,Internet & Telecom,Normal
i want to report unsafe construction near my house. the problem started three days ago. it is immediate help needed.,Public Safety,Urgent
i want to report electricity outage at the crossing. the problem started several weeks ago. it is requesting repair.,Electricity,Normal
please resolve the unsafe construction at the crossing; it has continued for three days. it is kindly resolve.,Public Safety,Normal
needs attention. residents are affected by low voltage at the crossing for three days.,Electricity,Normal
needs attention. there is slow broadband near the bus stand since one day.,Internet & Telecom,Normal
please check. the local authority has not fixed the electric pole at the main market for two hours.,Electricity,Normal
please inspect. residents are affected by dark street outside the school for one day.,Public Safety,Normal
kindly resolve. the local authority has not fixed the low water pressure in our lane for a week.,Water Supply,Normal
please inspect. please resolve the electricity outage at the crossing; it has continued for two hours.,Electricity,Normal
severe. i want to report poor coverage in sector 12. the problem started a week ago.,Internet & Telecom,Urgent
please inspect. the local authority has not fixed the internet down at the main market for three days.,Internet & Telecom,Normal
please inspect. residents are affected by missing road sign near my house for a week.,Roads & Transport,Normal
people may get hurt. residents are affected by bad smell beside the park for several weeks.,Sanitation,Urgent
residents are affected by electric pole beside the park for three days. it is immediate help needed.,Electricity,Urgent
the local authority has not fixed the bus delay near my house for two hours. it is please check.,Roads & Transport,Normal
please resolve the irregular supply at the main market; it has continued for a week. it is dangerous.,Water Supply,Urgent
the local authority has not fixed the electric pole outside the school for one day. it is requesting repair.,Electricity,Normal
causing inconvenience. i want to report pipeline leak outside the school. the problem started three days ago.,Water Supply,Normal
there is dirty water in sector 12 since several weeks. it is kindly resolve.,Water Supply,Normal
residents are affected by damaged railing near the bus stand for one day. it is causing inconvenience.,Public Safety,Normal
please check. the local authority has not fixed the router outage at the main market for several weeks.,Internet & Telecom,Normal
please resolve the unsafe construction at the main market; it has continued for one day. it is severe.,Public Safety,Urgent
residents are affected by fallen tree outside the school for one day. it is causing inconvenience.,Public Safety,Normal
kindly resolve. i want to report low voltage at the main market. the problem started two hours ago.,Electricity,Normal
the local authority has not fixed the transformer noise at the main market for a week. it is needs attention.,Electricity,Normal
requesting repair. residents are affected by internet down at the main market for one day.,Internet & Telecom,Normal
the local authority has not fixed the meter fault in our lane for one day. it is people may get hurt.,Electricity,Urgent
children are at risk. there is fire hazard near the bus stand since three days.,Public Safety,Urgent
i want to report street light at the main market. the problem started two hours ago. it is needs attention.,Electricity,Normal
severe. residents are affected by no water outside the school for one day.,Water Supply,Urgent
causing inconvenience. the local authority has not fixed the pothole near my house for one day.,Roads & Transport,Normal
requesting repair. there is dirty water beside the park since two hours.,Water Supply,Normal
causing inconvenience. there is broken road at the main market since three days.,Roads & Transport,Normal
residents are affected by blocked drain beside the park for two hours. it is please inspect.,Sanitation,Normal
please resolve the no water in sector 12; it has continued for two hours. it is needs attention.,Water Supply,Normal
causing inconvenience. i want to report water wastage outside the school. the problem started one day ago.,Water Supply,Normal
residents are affected by poor coverage in our lane for two hours. it is accident may happen.,Internet & Telecom,Urgent
needs attention. please resolve the unclean public toilet near my house; it has continued for several weeks.,Sanitation,Normal
residents are affected by garbage pile near my house for one day. it is please check.,Sanitation,Normal
please resolve the exposed cable beside the park; it has continued for two hours. it is emergency.,Public Safety,Urgent
emergency. residents are affected by internet down near my house for a week.,Internet & Telecom,Urgent
needs attention. residents are affected by open dumping in sector 12 for two hours.,Sanitation,Normal
please check. there is street light at the main market since a week.,Electricity,Normal
i want to report electric pole outside the school. the problem started three days ago. it is needs attention.,Electricity,Normal
causing inconvenience. please resolve the overflowing dustbin near the bus stand; it has continued for one day.,Sanitation,Normal
the local authority has not fixed the broken road near the bus stand for a week. it is children are at risk.,Roads & Transport,Urgent
residents are affected by damaged footpath in our lane for two hours. it is dangerous.,Roads & Transport,Urgent
residents are affected by blocked drain beside the park for a week. it is please inspect.,Sanitation,Normal
please check. the local authority has not fixed the slow broadband outside the school for several weeks.,Internet & Telecom,Normal
please resolve the open manhole near my house; it has continued for two hours. it is kindly resolve.,Public Safety,Normal
severe. there is broken road near the bus stand since a week.,Roads & Transport,Urgent
causing inconvenience. the local authority has not fixed the router outage near my house for a week.,Internet & Telecom,Normal
kindly resolve. please resolve the low voltage near the bus stand; it has continued for several weeks.,Electricity,Normal
please check. there is pipeline leak in our lane since several weeks.,Water Supply,Normal
severe. i want to report overflowing dustbin outside the school. the problem started several weeks ago.,Sanitation,Urgent
there is electric pole near my house since a week. it is needs attention.,Electricity,Normal
there is meter fault in sector 12 since a week. it is children are at risk.,Electricity,Urgent
the local authority has not fixed the low voltage near my house for one day. it is severe.,Electricity,Urgent
requesting repair. residents are affected by fire hazard at the crossing for two hours.,Public Safety,Normal
causing inconvenience. residents are affected by waterlogged road at the crossing for a week.,Roads & Transport,Normal
requesting repair. the local authority has not fixed the meter fault at the crossing for one day.,Electricity,Normal
please check. the local authority has not fixed the damaged cable in our lane for a week.,Internet & Telecom,Normal
dangerous. there is power cut in sector 12 since two hours.,Electricity,Urgent
residents are affected by waterlogged road at the crossing for a week. it is emergency.,Roads & Transport,Urgent
i want to report overflowing dustbin at the crossing. the problem started one day ago. it is dangerous.,Sanitation,Urgent
causing inconvenience. i want to report meter fault near the bus stand. the problem started a week ago.,Electricity,Normal
requesting repair. there is open manhole in sector 12 since two hours.,Public Safety,Normal
the local authority has not fixed the power cut in sector 12 for a week. it is please check.,Electricity,Normal
kindly resolve. please resolve the traffic signal in our lane; it has continued for several weeks.,Roads & Transport,Normal
i want to report damaged cable beside the park. the problem started several weeks ago. it is requesting repair.,Internet & Telecom,Normal
i want to report frequent disconnection in our lane. the problem started three days ago. it is severe.,Internet & Telecom,Urgent
needs attention. i want to report fallen tree beside the park. the problem started one day ago.,Public Safety,Normal
emergency. there is no water in sector 12 since one day.,Water Supply,Urgent
residents are affected by pothole at the main market for one day. it is causing inconvenience.,Roads & Transport,Normal
requesting repair. residents are affected by stray animal beside the park for two hours.,Public Safety,Normal
kindly resolve. the local authority has not fixed the water wastage beside the park for two hours.,Water Supply,Normal
causing inconvenience. residents are affected by missing road sign in sector 12 for several weeks.,Roads & Transport,Normal
accident may happen. please resolve the internet down in our lane; it has continued for two hours.,Internet & Telecom,Urgent
children are at risk. the local authority has not fixed the dirty water outside the school for a week.,Water Supply,Urgent
children are at risk. there is bus delay in sector 12 since two hours.,Roads & Transport,Urgent
causing inconvenience. please resolve the slow broadband in sector 12; it has continued for two hours.,Internet & Telecom,Normal
there is sewage mixed water in sector 12 since three days. it is children are at risk.,Water Supply,Urgent
people may get hurt. i want to report damaged cable near the bus stand. the problem started a week ago.,Internet & Telecom,Urgent
there is sewage mixed water at the crossing since two hours. it is please check.,Water Supply,Normal
the local authority has not fixed the unsafe crossing outside the school for a week. it is please inspect.,Roads & Transport,Normal
please resolve the damaged footpath in sector 12; it has continued for two hours. it is please check.,Roads & Transport,Normal
i want to report internet down in sector 12. the problem started several weeks ago. it is immediate help needed.,Internet & Telecom,Urgent
dangerous. residents are affected by poor coverage at the crossing for three days.,Internet & Telecom,Urgent
requesting repair. there is fallen tree in our lane since three days.,Public Safety,Normal
i want to report electricity outage beside the park. the problem started one day ago. it is please check.,Electricity,Normal
residents are affected by damaged railing outside the school for several weeks. it is please inspect.,Public Safety,Normal
please resolve the overflowing dustbin in sector 12; it has continued for several weeks. it is requesting repair.,Sanitation,Normal
requesting repair. the local authority has not fixed the traffic signal in sector 12 for three days.,Roads & Transport,Normal
please resolve the broken road at the crossing; it has continued for two hours. it is accident may happen.,Roads & Transport,Urgent
residents are affected by traffic signal near the bus stand for three days. it is people may get hurt.,Roads & Transport,Urgent
needs attention. residents are affected by irregular supply in sector 12 for two hours.,Water Supply,Normal
emergency. residents are affected by bad smell at the main market for a week.,Sanitation,Urgent
kindly resolve. i want to report water wastage outside the school. the problem started two hours ago.,Water Supply,Normal
causing inconvenience. please resolve the unclean public toilet in sector 12; it has continued for a week.,Sanitation,Normal
emergency. residents are affected by open dumping outside the school for several weeks.,Sanitation,Urgent
please inspect. i want to report internet down near my house. the problem started one day ago.,Internet & Telecom,Normal
the local authority has not fixed the sewage mixed water near my house for several weeks. it is emergency.,Water Supply,Urgent
kindly resolve. i want to report dirty water at the crossing. the problem started two hours ago.,Water Supply,Normal
emergency. i want to report fire hazard in our lane. the problem started a week ago.,Public Safety,Urgent
i want to report broken water pipe in our lane. the problem started a week ago. it is dangerous.,Water Supply,Urgent
dangerous. i want to report pothole in sector 12. the problem started three days ago.,Roads & Transport,Urgent
causing inconvenience. i want to report bus delay outside the school. the problem started two hours ago.,Roads & Transport,Normal
residents are affected by no water near the bus stand for two hours. it is emergency.,Water Supply,Urgent
emergency. there is street light beside the park since one day.,Electricity,Urgent
please resolve the waterlogged road outside the school; it has continued for three days. it is kindly resolve.,Roads & Transport,Normal
there is street light near my house since a week. it is requesting repair.,Electricity,Normal
please inspect. there is bus delay outside the school since several weeks.,Roads & Transport,Normal
there is meter fault in sector 12 since a week. it is requesting repair.,Electricity,Normal
